key,value
Radeon Vega 11 Ryzen 5 PRO 3400GE w/,1746
Radeon Ryzen 3 PRO 5450U,1731
Intel UHD Graphics P750,1726
Radeon HD 5830,1723
Intel Iris Plus 645,1721
Radeon Vega 8 Ryzen 3 PRO 3200G,1715
Radeon HD 6900M,1707
Radeon Ryzen 5 7600X 6-Core,1703
Radeon HD 7750,1702
Ryzen 5 PRO 4650U with Radeon Graphics,1702
GeForce GTX 760M,1697
Radeon E8860,1686
Radeon Ryzen 7 7700 8-Core,1685
Radeon R7 M380,1668
Radeon RX Vega 10 Ryzen 7 3750H,1664
Intel UHD Graphics 730,1656
Radeon RX Vega 10,1652
Radeon HD HD7850M,1651
GeForce GT 755M,1648
Radeon Vega 10 Ryzen 7 PRO 3700U w/,1647
FirePro W600,1641
Radeon HD 8870M,1638
Videocard Name,"Passmark G3D Mark
(higher is better)"
Quadro K3000M,1634
FirePro M4000 Mobility Pro,1630
Radeon R9 M275X,1628
Ryzen 3 5400U with Radeon Graphics,1626
Intel Iris Pro P6300,1625
Radeon R7 M465X,1623
GeForce GTX 480M,1617
Ryzen 7 2700U with Radeon Vega,1617
Tesla K40m,1611
FirePro M4000,1608
Radeon HD 6790,1607
Radeon RX Vega11,1605
Seria Radeon HD 7700,1603
Ryzen 3 PRO 5450U with Radeon Graphics,1601
Quadro P400,1597
Radeon Vega 8,1584
Radeon Vega 9,1581
Quadro K2000D,1577
Intel Iris Plus 650,1575
Radeon R9 M275X / M375,1574
GeForce GTX 555,1566
Radeon Vega 10,1562
Quadro K2000,1560
Radeon HD 7560D + HD 6670 Dual,1554
Ryzen 3 5300U with Radeon Graphics,1549
FirePro W4100,1547
Radeon Ryzen 7 7800X3D 8-Core,1547
GeForce GT 740,1545
Radeon HD 8470D + HD 7500 Dual,1545
Ryzen 3 PRO 4300U with Radeon Graphics,1542
GeForce GTX 285,1540
FirePro V8700,1538
Ryzen 3 PRO 4450U with Radeon Graphics,1535
GeForce GTX 550 Ti,1532
Radeon Ryzen 3 5425U,1532
Quadro P500,1528
Radeon R7 FX-9830P RADEON,1523
Radeon HD 4890,1518
